时间,标签,事件,内容
2020.01.15,お知らせ,「ぷりこねっ！りだいぶ」第156話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第156話を掲載しました！■4コマ「…
2020.01.15,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/15(水)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2020.01.14,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/14(火)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2020.01.10,すべてお知らせ,一部キャラのスキル効果説明文の表記について,プリンセスコネクト！Re:Dive運営事務局です。2020/01/10(金)12:00に行ったアップデート以降、プレイヤーの皆様から「ヒヨリ（ニューイヤー）…
2020.01.14,すべてお知らせ,「1月ルナの塔」開催中！【2020/01/15(水),14:50追記】プリンセスコネクト！Re:Dive運営事務局です。2020/01/14(火)12:00から、高難易度クエスト「ルナの塔」を開催中です！ルナの塔は、各階に出…
2020.01.10,すべてイベント,復刻ストーリーイベント「新春トゥインクルクライシス！」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/17(金)12:00から、復刻ストーリーイベント「新春トゥインクルクライシス！」の開催が決…
2020.01.10,お知らせ,「ぷりこねっ！りだいぶ」第155話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第155話を掲載しました！■4コマ「…
2020.01.10,すべてお知らせ,キャラ専用装備追加！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/10(金)12:00に、下記のキャラにおいて「キャラ専用装備」を追加しました。■キャラ専用…
2019.12.20,すべてアップデート,ギルドハウスに新しい家具を追加＆期間限定で家具を復刻！【2020/01/10(金),11:55追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00に、ギルドハウスの家具ショップに新しい家具を追加しました！また、過去…
2020.01.09,すべてお知らせ,キャラ専用装備追加決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/10(金)に、下記のキャラにおいて「キャラ専用装備」の追加を予定しております。■キャラ専用…
2020.01.10,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/10(金)05:00から「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！キ…
2020.01.08,すべてお知らせ,「Windows,7」のサポート終了についてプリンセスコネクト！Re:Dive運営事務局です。2020/01/14(火)に予定されている、マイクロソフト社のサポート終了に伴い「Windows7」はプリ…
2020.01.07,すべてお知らせ,「1月ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2020/1/14(火)12:00から、高難易度クエスト「ルナの塔」の開催が決定しました！ルナの塔は、各…
2020.01.10,すべてお知らせ,「聖跡調査」「神殿調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/10(金)05:00から「聖跡調査」「神殿調査」ドロップ量2倍キャンペーンを開始しました。…
2020.01.07,お知らせ,「ぷりこねっ！りだいぶ」第154話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第154話を掲載しました！■4コマ「…
2020.01.15,お知らせ,ゲーム内における「ジュエル・その他購入」画面にて、商品の購入時にエラーが発生する現象について,プリンセスコネクト！Re:Dive運営事務局です。ゲーム内における「ジュエル・その他購入」画面にて、ジュエル、その他商品を購入した際にエラーが発生する現象を確…
2020.01.04,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/04(土)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2020.01.03,お知らせ,期間限定キャラ「キャル（ニューイヤー）」の出現率UP！おまけ付きピックアップガチャ開催中！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「キャル（ニューイヤー）」がピックアップガチャ、限定★3確定ガチャ、プラチナガチャから登場！…
2020.01.01,お知らせ,「ぷりこねっ！りだいぶ」第153話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第153話を掲載しました！■4コマ「…
2020.01.01,すべてお知らせ,「お正月キャンペーン」開催！,プリンセスコネクト！Re:Dive運営事務局です。2020/01/01(水)05:00から「お正月キャンペーン」を開催中です！2020/01/01(水)…
2019.12.31,すべてお知らせ,ユニオンバーストの合計ダメージの表示不具合について,プリンセスコネクト！Re:Dive運営事務局です。ゲーム内において、下記の不具合を確認しております。■発生している不具合・複数回のダメージが発生するユニオ…
2020.01.01,すべてお知らせ,新年のごあいさつ,プリンセスコネクト！Re:Dive運営事務局です。あけましておめでとうございます。昨年中は「プリンセスコネクト！Re:Dive」をプレイしていただき、誠にあ…
2019.12.31,お知らせ,「ぷりこねっ！りだいぶ」第152話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第152話を掲載しました！■4コマ「…
2019.12.31,お知らせ,プリンセスフェスガチャ開催！期間限定キャラ「キャル（ニューイヤー）」登場＆おまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)12:00から「プリンセスフェスガチャ」を開催中です！！プリンセスフェスガチャ…
2019.12.31,お知らせ,「限定★3確定ガチャ」開催！対象キャラにはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)12:00から、期間限定で「限定★3確定ガチャ」を開催中です！限定★3確定ガチ…
2019.12.31,すべてお知らせアップデート,アップデートのお知らせ【2020/01/06(月),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.12.31,すべてお知らせイベント,ストーリーイベント「激走！,ランドソルギルドレース」開催中！【2019/12/31(火)15:02追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)12:00から、ストーリーイベント「激走！ランドソルギルドレース」を開催中です…
2019.12.31,すべてお知らせイベント,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)12:00から「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーンを開…
2019.12.31,すべてお知らせ,「ユカリ」の★6才能開花が登場！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)12:00に、下記キャラの★6才能開花が登場しました。■★6才能開花が登場した…
2019.12.31,すべてお知らせ,一部モンスターにおける説明文の誤りについて,プリンセスコネクト！Re:Dive運営事務局です。ゲーム内において、一部モンスターの紹介文に誤りがございました。該当のモンスターにおける説明文の、誤っていた…
2019.12.31,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2019.12.31,すべてお知らせ,「12月クランバトル」開催期間終了！【2019/12/31(火),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/30(月)23:59に、「12月クランバトル」の開催期間が終了しました。クランランキング…
2019.12.30,すべてアップデート,「マイプロフカード」と「クランプロフカード」に、初日の出のカードデザインを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/30(月)15:00に「マイプロフカード」と「クランプロフカード」に、初日の出のカードデザ…
2019.12.28,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/28(土)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2020.01.01,お知らせ,一部のキャリア決済において、ジュエルを購入できない現象について,プリンセスコネクト！Re:Dive運営事務局です。2020/01/01(水)00:00ごろから、一部のキャリア決済においてジュエルを購入する際にエラーが発生…
2019.12.27,お知らせ,「ぷりこねっ！りだいぶ」第151話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第151話を掲載しました！■4コマ「…
2019.12.25,お知らせ,「ぷりこねっ！りだいぶ」第150話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第150話を掲載しました！■4コマ「…
2019.12.25,すべてグッズ,PRICONNE,CHARACTERSONG12発売のお知らせプリンセスコネクト！Re:Dive運営事務局です。2019/12/25(水)に「プリンセスコネクト！Re:DivePRICONNECHARACTERSO…
2019.12.30,すべてお知らせイベント,特別イベント「王都終末決戦」開催終了！【2019/12/30(月),16:13追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/30(月)14:59に、特別イベント「王都終末決戦」の開催期間が終了しました。開催期間終…
2019.12.25,すべてお知らせ,「12月クランバトル」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/25(水)05:00から「12月クランバトル」を開催中です！クランバトルでは、クランごと…
2019.12.24,すべてお知らせアップデート,アップデートのお知らせ【2019/12/24(火),22:00更新】プリンセスコネクト！Re:Dive運営事務局です。2019/12/24(火)22:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.12.24,お知らせグッズ,「コミックマーケット97」プリンセスコネクト！Re:Diveオリジナルグッズ販売決定のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2019/12/28(土)～2019/12/31(火)に開催される「コミックマーケット97」に出展するC…
2019.12.22,すべてお知らせイベント,特別イベント「王都終末決戦」開催中！【2019/12/30(月),16:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/22(日)15:00から特別イベント「王都終末決戦」を開催中です！今回のイベントにおけるバ…
2019.12.26,すべてイベント,ストーリーイベント「激走！,ランドソルギルドレース」開催決定！プリンセスコネクト！Re:Dive運営事務局です。2019/12/31(火)12:00から、ストーリーイベント「激走！ランドソルギルドレース」の開催が決定…
2019.12.24,すべてお知らせアップデート,アップデートのお知らせ【2019/12/24(火),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/12/24(火)12:00にアップデートを行いました。※強制アップデートは、2019/12/2…
2019.12.26,すべてお知らせ,2019/12/28(土),～2020/01/05(日)のお問い合わせ対応についてプリンセスコネクト！Re:Dive運営事務局です。2019/12/28(土)～2020/01/05(日)にお寄せいただいたお問い合わせへのご案内は、順次行…
2019.12.24,すべてお知らせ,「ジュエル・その他購入」に「毎日更新,ジュエル500個」を期間限定で追加！プリンセスコネクト！Re:Dive運営事務局です。2019/12/24(火)12:00から「ジュエル・その他購入」に「毎日更新ジュエル500個」を期間限…
2019.12.23,すべてお知らせ,特別イベント「王都終末決戦」にて予定している調整について【2019/12/23(月),20:40追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/22(日)15:00から開催中の特別イベント「王都終末決戦」にて、下記の調整を行う予定です…
2019.12.23,すべてイベント,復刻ストーリーイベント「忘却のキャロル」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/23(月)21:00に、復刻ストーリーイベント「忘却のキャロル」の開催期間が終了しました。…
2019.12.23,すべてお知らせ,ミッション画面にて「エラーコード：1900」が発生する不具合について【2019/12/23(月),10:53追記】プリンセスコネクト！Re:Dive運営事務局です。ゲーム内において、下記の不具合を確認しております。■確認している不具合・ミッション画面において、特定の条…
2019.12.23,すべてお知らせ,「聖跡調査」「神殿調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/23(月)05:00から「聖跡調査」「神殿調査」ドロップ量2倍キャンペーンを開始しました。…
2019.12.24,すべてお知らせ,「クリスマスログインボーナス」開催！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/24(火)05:00から「クリスマスログインボーナス」を開始しました！キャンペーン期間中…
2019.12.20,すべてお知らせ,フレンドからサポートキャラをレンタルする際のキャラLv制限について,プリンセスコネクト！Re:Dive運営事務局です。いつもプリンセスコネクト！Re:Diveをご利用いただき、誠にありがとうございます。「初心者応援ミッション…
2019.12.23,すべてお知らせ,「ハードクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/23(月)05:00から「ハードクエスト」ドロップ量2倍キャンペーンを開始しました！！キ…
2019.12.22,すべてお知らせ,「12月クランバトル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/25(水)05:00から「12月クランバトル」を開催します！クランバトルでは、クランごと…
2019.12.20,すべてお知らせ,特別イベントの情報公開,第五弾！プリンセスコネクト！Re:Dive運営事務局です。2019/12/22(日)から開催を予定している特別イベント「王都終末決戦」の追加情報を、前回までにお伝えし…
2019.12.20,すべてお知らせ,新キャラ「イリヤ（クリスマス）」登場！ピックアップガチャは★3キャラ提供割合2倍＆おまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00から、★3キャラの提供割合が通常時の2倍になる特別なピックアップガチャ…
2019.12.20,すべてお知らせ,「7日間スタミナ応援パック」の購入可能プレイヤーLvの調整について,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00に、現在「ジュエル・その他購入」にて販売している「7日間スタミナ応援パ…
2019.12.20,すべてお知らせ,「★3確定プラチナガチャ」開催！対象キャラにはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00から、期間限定で「★3確定プラチナガチャ」を開催中です！★3確定プラ…
2019.12.20,すべてお知らせ,メインストーリー第15章の第5話まで追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00に、メインストーリー第15章の第5話まで追加しました！※2019/1…
2019.12.20,すべてお知らせ,一部ショップのラインナップに装備アイテムを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00から、一部ショップのラインナップに装備アイテムを追加しました！変更内…
2019.12.20,すべてお知らせ,ノーマルガチャのラインナップ更新！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00から、ノーマルガチャから出現する装備アイテムを追加しました！変更内容…
2019.12.20,すべてお知らせアップデート,ギルドハウスにおける効果付き家具のLvアップ上限の引き上げについて,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00に、ギルドハウスにおける効果付き家具のLvアップ上限を、Lv.15から…
2019.12.20,すべてアップデート,メモリアルサウンドボックスに新しいBGMを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00に、ギルドハウスの家具「メモリアルサウンドボックス」に新しいBGMを追…
2019.12.20,すべてお知らせアップデート,アップデートのお知らせ【2019/12/20(金),15:00更新】プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.12.20,すべてお知らせ,「1日1回10連ガチャ無料キャンペーン」開催！！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)05:00から「1日1回10連ガチャ無料キャンペーン」を開催中です！！キャンペ…
2019.12.18,お知らせアップデート,新規ノーマルミッション追加と一部ノーマルミッションの報酬を調整！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/18(水)05:00から、新規ノーマルミッションの追加、および一部ノーマルミッションに報酬…
2019.12.20,すべてお知らせ,マスターショップに「チカ（クリスマス）」「アヤネ（クリスマス）」のメモリーピースを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00から「マスターショップ」の限定ラインナップに、期間限定キャラ「チカ（ク…
2019.12.20,お知らせ,期間限定「初心者応援ミッション」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)05:00から、期間限定で「初心者応援ミッション」を開催中です！プレイヤーLv…
2019.12.18,すべてお知らせ,「12月クランバトル」モード変更開始！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/18(水)12:00から、12月クランバトルのモード変更期間です。■モード変更および選択…
2019.12.18,すべてお知らせ,特別イベントの情報公開,第四弾！プリンセスコネクト！Re:Dive運営事務局です。2019/12/22(日)から開催を予定している特別イベント「王都終末決戦」の追加情報を、前回までにお伝えし…
2019.12.11,すべてお知らせメンテナンス,2019/12/18(水)メンテナンス実施のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。プレイヤーの皆さまに、より楽しんでいただくために、一部ノーマルミッションの調整を予定しております。そのため…
2019.12.18,すべてお知らせメンテナンス,2019/12/18(水)メンテナンス終了のお知らせ,プリンセスコネクト！Re:Dive運営事務局です。下記の期間にて、一部ノーマルミッションの調整を行うため実施しておりましたメンテナンスが終了いたしました。■…
2019.12.16,お知らせ,「忘却のキャロル,復刻記念RTキャンペーン」開催プリンセスコネクト！Re:Dive運営事務局です。ストーリーイベント「忘却のキャロル」の復刻を記念して「忘却のキャロル復刻記念RTキャンペーン」を開催いたし…
2019.12.16,お知らせ,「ぷりこねっ！りだいぶ」第149話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第149話を掲載しました！■4コマ「…
2019.12.17,すべてお知らせアップデート,アップデートのお知らせ【2019/12/17(火),16:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/12/17(火)16:00にアップデートを行いました。※強制アップデートは、2019/12/1…
2019.12.16,すべてお知らせ,アプリのデータ容量削減と、それに伴う仕組みの変更について,プリンセスコネクト！Re:Dive運営事務局です。2019/12/16(月)に行ったアップデートにて、アプリのデータ容量削減を行いました。本アップデートによ…
2019.12.16,すべてイベント,復刻ストーリーイベント「忘却のキャロル」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/16(月)12:00から、復刻ストーリーイベント「忘却のキャロル」を開催中です！復刻イベ…
2019.12.16,すべてお知らせアップデート,アップデートのお知らせ【2019/12/16(月),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/12/16(月)12:00にアップデートを行いました。※強制アップデートは、2019/12/1…
2019.12.16,すべてイベント,「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/16(月)12:00から「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン…
2019.12.16,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/16(月)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2019.12.14,すべてお知らせ,「12月ルナの塔」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/14(土)12:00から、高難易度クエスト「ルナの塔」を開催中です！ルナの塔は、各階に出…
2019.12.14,すべてイベント,ストーリーイベント「プレゼントパニック！,ランドソルのサンタたち」開催終了！プリンセスコネクト！Re:Dive運営事務局です。2019/12/14(土)20:59に、ストーリーイベント「プレゼントパニック！ランドソルのサンタたち」…
2019.12.14,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/14(土)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2019.12.13,すべてお知らせ,「王都終末決戦」直前応援プレゼントのお知らせ,プリンセスコネクト！Re:Dive運営事務局です。2019/12/22(日)に開催を予定している特別イベント「王都終末決戦」の応援として、プレイヤーの皆さま…
2019.12.13,お知らせ,特別イベントの情報公開,第三弾！プリンセスコネクト！Re:Dive運営事務局です。2019/12/22(日)から開催を予定している特別イベント「王都終末決戦」の追加情報を、前回までにお伝えし…
2019.12.05,すべてお知らせ,アプリのデータ容量削減と、それに伴う仕組みの変更について【2019/12/11(水),18:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/12/12(木)に予定しているアップデートにて、アプリのデータ容量削減を行います。本アップデート…
2019.12.11,すべてお知らせ,キャラ専用装備追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/11(水)12:00に、下記のキャラにおいて「キャラ専用装備」を追加しました。■キャラ専…
2019.12.11,すべてお知らせ,「復刻限定キャラ,プライズガチャ」開催！期間限定キャラ再登場！プリンセスコネクト！Re:Dive運営事務局です。2019/12/11(水)12:00から「復刻限定キャラプライズガチャ」を開催中です！また、期間限定キ…
2019.12.11,すべてアップデート,「マイプロフカード」と「クランプロフカード」に、クリスマスのカードデザインを追加！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/11(水)12:00に「マイプロフカード」と「クランプロフカード」に、クリスマスのカードデ…
2019.12.10,すべてお知らせ,「7日間スタミナ応援パック」の購入可能プレイヤーLvの調整について,プリンセスコネクト！Re:Dive運営事務局です。2019/12/20(金)15:00から、現在「ジュエル・その他購入」にて販売している「7日間スタミナ応援…
2019.12.11,すべてお知らせ,「聖跡調査」「神殿調査」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/11(水)05:00から「聖跡調査」「神殿調査」ドロップ量2倍キャンペーンを開始しました。…
2019.12.10,すべてお知らせ,「ダンジョン」マナドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/10(火)05:00から「ダンジョン」マナドロップ量2倍キャンペーンを開始しました！！キ…
2019.12.10,すべてお知らせ,キャラ専用装備追加決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/11(水)に、下記のキャラにおいて「キャラ専用装備」の追加を予定しております。■キャラ専用…
2019.12.09,お知らせ,「ぷりこねっ！りだいぶ」第148話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第148話を掲載しました！■4コマ「…
2019.12.09,すべてイベント,復刻ストーリーイベント「忘却のキャロル」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/16(月)12:00から、復刻ストーリーイベント「忘却のキャロル」の開催が決定しました！！…
2019.12.06,すべてお知らせ,サポート設定の「クエスト」において獲得できるマナが本来と異なる不具合について,プリンセスコネクト！Re:Dive運営事務局です。ゲーム内において、下記の不具合が発生しておりました。■発生していた不具合サポート設定の「クエスト」におい…
2019.12.06,お知らせ,「ぷりこねっ！りだいぶ」第147話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第147話を掲載しました！■4コマ「…
2019.12.12,お知らせ,特別イベントの情報公開,第二弾！プリンセスコネクト！Re:Dive運営事務局です。2019/12/22(日)から開催を予定している特別イベント「王都終末決戦」の追加情報を、前回お伝えした情報…
2019.12.07,すべてお知らせ,「12月ルナの塔」開催決定！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/14(土)12:00から、高難易度クエスト「ルナの塔」の開催が決定しました！ルナの塔は、…
2019.12.05,すべてお知らせ,特別イベントの情報公開,第一弾！プリンセスコネクト！Re:Dive運営事務局です。いよいよ2019/12/20(金)に予定している、メインストーリー「第一部最終章」の追加に伴う特別イベントの…
2019.12.04,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/12/04(水)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2019.12.03,お知らせ,「ぷりこねっ！りだいぶ」第146話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第146話を掲載しました！■4コマ「…
2019.12.02,すべてお知らせ,ノゾミ（クリスマス）の一部スキルアイコンの表示が本来と異なる不具合について,プリンセスコネクト！Re:Dive運営事務局です。ゲーム内において、下記の不具合が発生しておりました。■発生していた不具合ノゾミ（クリスマス）のスキル「ク…
2019.11.30,すべてお知らせ,期間限定キャラ「クリスティーナ（クリスマス）」登場！ピックアップガチャはおまけ付き！,プリンセスコネクト！Re:Dive運営事務局です。期間限定キャラ「クリスティーナ（クリスマス）」がピックアップガチャとプラチナガチャから登場！ピックアップガ…
2019.11.30,すべてお知らせイベント,ストーリーイベント「プレゼントパニック！,ランドソルのサンタたち」開催中！【2019/12/04(水)12:14追記】プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)12:00から「プレゼントパニック！ランドソルのサンタたち」を開催中です！イ…
2019.11.30,すべてお知らせ,新機能「ストーリー解放機能」登場！,プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)12:00に「ストーリー解放機能」を追加しました！ストーリー解放機能では、スト…
2019.11.30,すべてお知らせ,「イオ」の★6才能開花が登場！,プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)11:30に、下記キャラの★6才能開花が登場しました。■★6才能開花が登場した…
2019.11.30,すべてお知らせ,「バトルアリーナ」と「プリンセスアリーナ」のタイム報酬におけるストック量上限の引き上げについて,プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)12:00から「バトルアリーナ」および「プリンセスアリーナ」のタイム報酬における…
2019.11.30,すべてお知らせイベント,「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)12:00から「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーンを開…
2019.11.30,すべてお知らせアップデート,アップデートのお知らせ【2019/11/30(土),12:00更新】プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)12:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2019.11.30,すべてお知らせ,プレイヤーEXP獲得量1.5倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)05:00から「メインクエスト」「聖跡調査クエスト」「神殿調査クエスト」プレイヤ…
2019.11.30,すべてお知らせ,「11月クランバトル」開催期間終了！【2019/11/30(土),15:00追記】プリンセスコネクト！Re:Dive運営事務局です。2019/11/29(金)23:59に、「11月クランバトル」の開催期間が終了しました。クランランキング…
2019.11.30,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2019.11.28,すべてお知らせ,12月特別イベントの参加条件発表＆参加応援キャンペーンの開催決定！,プリンセスコネクト！Re:Dive運営事務局です。ラジオ「プリコネチャンネルRe:Dive」第123回で告知されていた、2019年12月に予定しているメインス…
2019.11.29,お知らせ,「ぷりこねっ！りだいぶ」第145話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第145話を掲載しました！■4コマ「…
2019.11.27,お知らせ,「ぷりこねっ！りだいぶ」第144話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第144話を掲載しました！■4コマ「…
2019.11.27,グッズ,PRICONNE,CHARACTERSONG11発売のお知らせプリンセスコネクト！Re:Dive運営事務局です。2019/11/27(水)から「プリンセスコネクト！Re:DivePRICONNECHARACTERS…
2019.11.27,すべてお知らせ,「バトルアリーナ」と「プリンセスアリーナ」のタイム報酬におけるストック量上限の引き上げについて,プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)12:00から「バトルアリーナ」および「プリンセスアリーナ」のタイム報酬における…
2019.11.26,すべてお知らせアップデート,アップデートのお知らせ【2019/11/26(火),12:00公開】プリンセスコネクト！Re:Dive運営事務局です。2019/11/26(火)12:00にアップデートを行いました。※強制アップデートは、2019/11/2…
2019.11.25,すべてイベント,ストーリーイベント「プレゼントパニック！,ランドソルのサンタたち」開催決定！プリンセスコネクト！Re:Dive運営事務局です。2019/11/30(土)12:00から、ストーリーイベント「プレゼントパニック！ランドソルのサンタたち…
2019.11.22,お知らせ,「ぷりこねっ！りだいぶ」第143話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第143話を掲載しました！■4コマ「…
