时间,标签,事件,内容
2020.04.15,すべてお知らせアップデート,ギルドハウスにおける効果付き家具のLvアップ上限の引き上げについて,プリンセスコネクト！Re:Dive運営事務局です。2020/04/15(水)15:00に、ギルドハウスにおける効果付き家具のLvアップ上限を、Lv.16から…
2020.04.15,すべてアップデート,ギルドハウスに新しい家具を追加＆期間限定で家具を復刻！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/15(水)15:00に、ギルドハウスの家具ショップに新しい家具を追加しました！また、過去…
2020.04.15,すべてアップデート,メモリアルサウンドボックスに新しいBGMを追加！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/15(水)15:00に、ギルドハウスの家具「メモリアルサウンドボックス」に新しいBGMを追…
2020.04.15,すべてお知らせアップデート,アップデートのお知らせ【2020/04/15(水),15:00更新】プリンセスコネクト！Re:Dive運営事務局です。2020/04/15(水)15:00にアップデートを行いました。※本アップデートでは、ストアからのアップ…
2020.04.15,すべてお知らせ,「ノーマルクエスト」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/15(水)05:00から「ノーマルクエスト」ドロップ量2倍キャンペーンを開始しました！！…
2020.04.14,すべてお知らせイベント,ストーリーイベント「授けの財団と聖なる学舎の異端児」開催終了！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/14(火)20:59に、ストーリーイベント「授けの財団と聖なる学舎の異端児」の開催期間が終…
2020.04.14,すべてお知らせ,「4月ルナの塔」開催中！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/14(火)12:00から、高難易度クエスト「ルナの塔」を開催中です！ルナの塔は、各階に出…
2020.04.14,すべてお知らせ,「探索」ドロップ量2倍キャンペーン！,プリンセスコネクト！Re:Dive運営事務局です。2020/04/14(火)05:00から「探索」ドロップ量2倍キャンペーンを開始しました！！キャンペーン…
2020.04.10,お知らせ,「ぷりこねっ！りだいぶ」第175話掲載,プリンセスコネクト！Re:Dive運営事務局です。プリンセスコネクト！Re:Diveの公式4コマ「ぷりこねっ！りだいぶ」第175話を掲載しました！■4コマ「…
2020.04.10,すべてお知らせ,「復刻イベントキャラ,プライズガチャ」開催！プリンセスコネクト！Re:Dive運営事務局です。2020/04/10(金)12:00から「復刻イベントキャラプライズガチャ」を開催中です！「復刻イベン…
